columns,rows,loss_mean
2,3,1.7147251141685682
2,4,2.8013201978896825
2,5,5.900891482408966
2,6,9.337001733928702
2,7,11.696943947064192
2,8,13.159915448578852
3,3,0.23906953827043373
3,4,0.23998284310877613
3,5,0.7047074260011871
3,6,1.7489923982322189
3,7,3.3344421460162876
3,8,4.456927658038369
4,3,0.09973630045860742
4,4,0.05831994956623986
4,5,0.0674370799764392
4,6,0.23982217903903572
4,7,0.8676381629971436
4,8,1.452225190128355
5,3,0.028000928870256542
5,4,0.11033311529292485
5,5,0.07781927571730707
5,6,0.14166455147078216
5,7,0.27193746014817144
5,8,0.24435629313218996
6,3,0.0065776963866800075
6,4,0.08560240048377167
6,5,0.046806176903015397
6,6,0.10301894208974023
6,7,0.15359477695902105
6,8,0.18064480954071585
7,3,0.18999681798769444
7,4,0.07776850932525287
7,5,0.04182293127495412
7,6,0.14796208670052055
7,7,0.09788469091346574
7,8,0.11198548424189775
8,3,0.025536591078113773
8,4,0.0841072591680776
8,5,0.13298070523017066
8,6,0.09394708717554114
8,7,0.08338587516471285
8,8,0.12425396673648215
