frequencies,amplitudec952,amplitudec29d,amplitude5093,amplitude039c,amplitudefac3,amplitude6296
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.04914756922142516,0.09385973514920476,0.025856361922807086,0.2773246317463534,0.018598921577638983,0.16717565402624412
0.5,0.06588643670519456,0.12333342654018538,0.03277510035604584,0.3390968739172087,0.02454516032850022,0.2277159480786303
0.75,0.07946118828771276,0.15980094444324808,0.04229325613355961,0.3888997114777399,0.039212203486591456,0.3122266560157166
1.0,0.0883691814904483,0.181215301329931,0.04504613334614908,0.448458580362422,0.04980784686772832,0.3306068226667052
1.25,0.10159074283159016,0.20781220282955637,0.04492721108883183,0.4288073446971084,0.051129908765263465,0.28551615375749
1.5,0.11994908118141871,0.23056233671951562,0.041386485620357995,0.3733358811036869,0.057832363358112225,0.21519254729518877
1.75,0.14311588243908938,0.23023102774881496,0.03769936917762262,0.3201388045776327,0.06826002494519064,0.15955124319900835
2.0,0.16660380059892432,0.20374525912136013,0.029483033614588667,0.2829016699194697,0.07798011095551664,0.12288331803256576
2.25,0.17602781282426902,0.17045149759715125,0.02997761135703995,0.2589861455572609,0.1081455352266613,0.09907695562884111
2.5,0.16445290158265782,0.14216664230009565,0.031234617123943192,0.24015888789891568,0.15212330331381216,0.08715403545591875
2.75,0.14399069975477374,0.12493539536104266,0.03351258854406532,0.222682442351827,0.19697674808189417,0.0866647467570522
3.0,0.12714303576322994,0.11502120267077576,0.03847066300328095,0.2059195476238355,0.2226754103647508,0.09451329817955845
3.25,0.11743615100794653,0.11165625918207667,0.043645726592060896,0.19628137848692026,0.22138565213091313,0.10521772169703277
3.5,0.11593847328443936,0.11423326876010147,0.05169235020718362,0.19421133275268895,0.18985658400351824,0.11403208520253265
