frequencies,amplitudeb419,amplitude0ae2,amplitudeebb7
0.0,0.0,0.0,0.0
0.25,0.05087299824597776,0.3480579034903754,0.4241602810601816
0.5,0.06492423225801058,0.4126229857499748,0.4979269718586717
0.75,0.08739149763177186,0.43994167233073966,0.4859413144657691
1.0,0.10570857400456053,0.43932171321166386,0.4056463186419341
1.25,0.11476740724511902,0.3880940344493086,0.3052447476199829
1.5,0.1337445474783466,0.319128895010896,0.22843884889189128
1.75,0.17631759687052906,0.2671209142758946,0.17314254079568592
2.0,0.23973419307230218,0.24265792033069408,0.13919327223694525
2.25,0.29406943378745193,0.23265392783339145,0.14429017849708536
2.5,0.30118172496728207,0.23358889626410692,0.17794556379709517
2.75,0.44140402843018506,0.25187594972851396,0.223334346948743
3.0,0.4424114745120029,0.2996363000367171,0.27114295648124936
3.25,0.39624505865735166,0.35616609068769645,0.27752586972366294
3.5,0.3721542584116442,0.3238507901228944,0.26366603977267644
